cartodb_id,the_geom,wine,trees,soap,prepared,poultry,plants,nuts,nursery,meat,maple,jams,honey,vegetables,herbs,seafood,eggs,flowers,crafts,cheese,bakedgoods,snap,sfmnp,wiccash,wic,credit,fmid,location,schedule,zip,state,latitude,longitude
7389,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002818,,,36518,Alabama,31.4649,-88.2596
7390,,false,true,true,false,false,true,false,true,true,false,false,true,true,false,false,true,true,false,false,true,false,false,true,false,false,1001292,Other,"May - September Saturday 8:30 AM to 12:30 PM, (When produce is abundant, market will also be open on Tuesday evenings from 4:30-7:00 pm)",47167,Indiana,38.605955,-86.094468
7391,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003268,,,27962,North Carolina,35.8476,-76.7449
7392,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001180,,,,Maryland,39.6246,-77.7298
7393,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001133,,,63664,Missouri,37.9358,-90.7938
7394,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003037,,,,Connecticut,41.6397,-73.3205
7395,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22000597,,,66968,Kansas,39.8238,-97.0541
7396,,false,true,true,false,false,true,false,true,false,true,true,true,true,true,false,true,true,true,true,true,false,false,false,false,false,1001291,Local government building grounds,January - December Saturday 10:00 AM to 1:00 PM,3280,New Hampshire,40.5566,-83.9527
7397,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002531,,,,Georgia,33.7372,-82.7407
7398,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003933,,,5675,Vermont,44.0833,-72.4219
7399,,false,true,true,true,false,true,true,true,true,false,true,true,true,true,false,true,true,true,false,true,false,true,true,true,true,1000645,Other,"May - October Thursday 5:00 PM to 8:00 PM, (Actual times are Thursday evenings promptly at 5:00PM to 7:30PM)",52353,Iowa,41.2988,-91.6923
7400,,false,false,true,true,false,true,false,true,true,false,true,true,true,true,false,true,false,true,false,true,false,false,false,false,true,1004026,Other,"April - December Wednesday 3:00 PM to 6:00 PM, Saturday 8:00 AM to 2:00 PM",63090,Missouri,38.561078,-91.013703
7401,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001627,,,29201,South Carolina,34.0055,-81.03
7402,,false,true,true,false,false,true,false,true,false,false,true,true,true,true,false,false,true,true,false,true,false,false,false,false,false,1000893,Local government building grounds,June - September Wednesday 11:00 AM to 6:00 PM,99654,Alaska,61.582613,-149.440155
7403,,false,true,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,1002194,Other,"November , (We are also open 8am - 12pm on the Saturdays before and after Thanksgiving)",28607,North Carolina,36.209499,-81.669862
7404,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22005319,,,,California,34.1195,-116.446
7405,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003659,,,38965,Mississippi,34.168,-89.6307
7406,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002840,,,,Connecticut,41.569,-73.0376
7407,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003754,,,,Connecticut,41.5544,-73.0433
7408,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22005320,,,,Connecticut,41.5401,-73.0279
7409,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002206,,,6702,Connecticut,41.5866,-73.0835
7410,,true,false,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,true,true,true,true,false,false,false,true,1001885,,"May - October Thursday 3:00 PM to 7:00 PM, (Summer market)",5677,Vermont,44.3393474,-72.7578619
7411,,false,false,true,true,true,true,true,false,true,false,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,1001885,Educational institution,"January - April Saturday 10:00 AM to 2:00 PM, (Winter market) November - December Saturday 10:00 AM to 2:00 PM, (Winter market)",5676,Vermont,44.339485,-72.75383
7412,,false,true,true,true,true,false,false,true,true,false,true,true,true,true,false,true,true,true,true,true,false,true,true,false,false,1002871,Local government building grounds,June - October Saturday 9:00 AM to 12:00 PM,6385,Connecticut,41.34297,-72.13149
7413,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001437,,,,New York,42.7875,-73.679
7414,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001149,,,32826,Florida,28.552,-81.2044
7415,,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,false,true,true,true,true,true,true,false,true,false,1003271,Local government building grounds,May - October Thursday 3:00 PM to 7:00 PM,53594,Wisconsin,43.190401,-88.984601
7416,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003923,,,,New York,43.9621,-75.9133
7417,,false,false,true,true,false,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,false,false,false,1002675,Local government building grounds,May - September Friday 3:30 PM to 6:30 PM,55388,Minnesota,44.967094,-93.843498
7418,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002875,,,57201-3645,South Dakota,44.8901,-97.0887
7419,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22005321,,,,Wisconsin,43.2,-88.7113
7420,,false,false,true,true,true,true,false,true,true,false,true,true,true,true,false,true,true,true,false,true,false,true,false,true,false,1002406,Private business parking lot,July - September Saturday 9:00 AM to 1:00 PM,6795,Connecticut,41.603698,-73.117533
7421,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003985,,,,New York,43.9731,-75.8949
7422,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001441,,,,New York,43.9613,-75.8591
7423,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001442,,,,New York,43.9748,-75.9108
7424,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001443,,,,New York,43.9805,-75.9113
7425,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001444,,,,New York,43.9748,-75.9108
7426,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003701,,,,New York,43.9881,-75.9087
7427,,true,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true,true,1002996,,June - October Saturday 9:00 AM to 2:00 PM,13601,New York,43.974858,-75.909712
7428,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22004311,,,,New York,42.7304,-73.698
7429,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001426,,,,New York,42.381,-76.8695
7430,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002167,,,56081,Minnesota,43.984,-94.6292
7431,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003243,,,60970,Illinois,40.7763,-87.7342
7432,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001302,,,95077,California,36.9295,-121.771
7433,,false,false,false,true,false,true,true,false,false,false,true,true,true,true,false,true,true,true,false,true,true,true,true,true,false,1002563,Other,January - December Saturday 10:00 AM to 2:00 PM,90002,California,33.943752,-118.252437
7434,,false,false,true,true,false,true,false,false,false,true,true,false,true,true,false,false,true,true,false,true,false,false,false,false,false,1001685,Closed-off public street,June - October Thursday 3:00 PM to 7:00 PM,60084,Illinois,42.25927,-88.1399
7435,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003533,,,50263,Iowa,41.6041,-93.8723
7436,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002500,,,60085,Illinois,42.3508,-87.8558
7437,,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,true,false,false,1001550,Other,May - October Saturday 8:00 AM to 12:00 PM,53186,Wisconsin,43.012555,-88.231287
7438,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001743,,,53946,Wisconsin,43.1821,-89.4528
7439,,false,false,true,false,false,false,false,false,true,false,true,true,true,false,false,false,false,true,false,true,false,true,false,true,false,1001209,Local government building grounds,"May - October Thursday 4:00 PM to 7:00 PM, (Market will operate from May 17 - October 25)",53963,Wisconsin,43.640563,-88.723612
7440,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22005322,,,,Wisconsin,45.3756,-87.9523
7441,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001327,,,,New York,42.0104,-76.5272
7442,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003527,,,50677,Iowa,42.7318,-92.4714
7443,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003096,,,75165,Texas,32.3856,-96.8473
7444,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003778,,,28173,North Carolina,34.9415,-80.7525
7445,,true,false,false,true,true,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,false,false,true,true,true,1004705,Private business parking lot,"January - March Saturday 10:00 AM to 2:00 PM, (Winter market held on Saturday will have 40 vendors) June - October Wednesday 12:00 PM to 5:00 PM",1778,Massachusetts,42.361874,-71.368883
7446,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22002902,,,44691,Ohio,40.8513,-81.942
7447,,false,false,false,true,false,false,false,true,true,false,true,true,true,true,false,true,false,true,true,true,false,false,false,false,false,1002223,Private business parking lot,May - September Saturday 4:00 PM to 6:30 PM,84775,Utah,38.29903,-111.425
7449,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003644,,,18431,Pennsylvania,41.5718,-75.2566
7450,,false,false,false,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,21001883,Private business parking lot,January - December,25701,West Virginia,38.3569,-82.4527
7451,,false,false,false,false,false,true,false,false,false,false,true,true,true,true,false,false,false,false,false,true,false,false,false,false,false,21001883,Local government building grounds,January - December,25570,West Virginia,38.2202,-82.4423
7452,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001024,,,42633,Kentucky,36.7572,-84.8568
7453,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001025,,,42633,Kentucky,36.8554,-84.844
7454,,false,false,false,false,false,true,true,false,false,false,true,true,true,true,false,false,true,false,false,true,false,false,false,false,false,21000620,Local government building grounds,"January - December Wednesday 9:30 am to 2:30 pm, (Weather permitting.)",27530,North Carolina,35.3837,-77.9823
7455,,false,false,true,true,false,false,false,false,true,false,true,true,true,true,false,true,false,true,true,true,false,true,false,false,false,1003010,Local government building grounds,"June - October Thursday 4:00 PM to 7:00 PM, Saturday 9:00 AM to 12:00 PM",68787,Nebraska,42.2336415,-97.0192785
7456,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001076,,,4284,Maine,44.3479,-70.0678
7457,,false,false,false,true,false,true,false,false,false,false,false,true,true,true,false,true,true,false,false,true,true,true,false,true,false,1001454,Educational institution,"June - October Wednesday 11:00 AM to 4:00 PM, (Wednesday, 4th of July, market will be closed)",48202,Michigan,42.35801,-83.06794
7458,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22001801,,,22980,Virginia,38.0753,-78.8992
7459,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,22003278,,,28786,North Carolina,35.4924,-82.9868
7460,,false,false,true,true,true,true,false,true,true,true,true,true,true,true,false,true,true,true,true,true,true,false,false,false,true,1002908,"Faith-based institution (e.g., church, mosque, synagogue, temple)","January - May Friday 3:00 PM to 6:30 PM, (Winter Indoor Market) October - December Friday 3:00 PM to 6:30 PM, (Winter Indoor Market)",3281,New Hampshire,43.110712,-71.7382008
